Unnamed: 0,Date,Primogem Used,Total Users,Average Used,Primogem Supplied
831,2025-01-07,1713094.766356683,334452,5.1220945497610515,80.0
832,2025-01-08,1465660.4467312277,334452,4.382274427215946,0.0
833,2025-01-09,1370231.128955176,334452,4.096944042658367,140.0
834,2025-01-10,1289648.3216183672,334452,3.856004214710533,20.0
835,2025-01-11,1335418.7946155395,334452,3.9928563579094742,140.0
836,2025-01-12,1132501.443222039,334452,3.386140442341618,0.0
837,2025-01-13,1051946.2129900649,334452,3.145283068990662,140.0
838,2025-01-14,990138.400026692,334452,2.960479829771363,120.0
839,2025-01-15,926538.0752490576,334452,2.770317041755043,0.0
840,2025-01-16,1574860.7678579648,334452,4.708779639105058,100.0
841,2025-01-17,1101422.046073222,334452,3.293214111660932,20.0
842,2025-01-18,1120550.5287904495,334452,3.3504076184039846,100.0
843,2025-01-19,1001705.7420001244,334452,2.9950657852251577,0.0
844,2025-01-20,1097769.3331873764,334452,3.2822926255109146,100.0
845,2025-01-21,734857.1405709714,334452,2.1971976264784527,40.0
846,2025-01-22,1691553.7459480783,244466,6.919382433336653,160.0
847,2025-01-23,586360.5533407095,244466,2.398536210927939,0.0
848,2025-01-24,1030828.755644099,244466,4.216654895339634,600.0
849,2025-01-25,667569.4749822784,244466,2.730725233702349,0.0
850,2025-01-26,825524.7354866028,244466,3.376848868499516,320.0
851,2025-01-27,535239.2326289098,244466,2.189421975362258,0.0
852,2025-01-28,1019164.7346432756,244466,4.168942653143078,800.0
853,2025-01-29,525049.469572559,244466,2.1477402566105677,0.0
854,2025-01-30,425075.93803649145,244466,1.738793689251231,0.0
855,2025-01-31,536592.7367723499,244466,2.1949585495420627,300.0
856,2025-02-01,1436178.0342723718,244466,5.874755729927155,300.0
857,2025-02-02,777304.1599292739,244466,3.1796002713231037,300.0
858,2025-02-03,631542.3793995305,244466,2.5833546562692993,320.0
859,2025-02-04,624148.5312747763,244466,2.553109762808637,300.0
860,2025-02-05,618167.9007115555,244466,2.528645704153361,400.0
861,2025-02-06,379294.323867048,244466,1.5515217816262712,0.0
862,2025-02-07,365872.0744445988,244466,1.4966174210098697,0.0
863,2025-02-08,384992.3109179622,244466,1.5748296733204707,0.0
864,2025-02-09,344568.98079872644,244466,1.4094760858308577,0.0
865,2025-02-10,323847.09775562544,244466,1.3247122207408206,20.0
866,2025-02-11,167843.8025405173,244466,0.6865731943931561,790.0
867,2025-02-12,8190.027032660058,244466,0.033501701801723176,30.0
868,2025-02-13,238086.73083778797,121271,1.963261874955991,30.0
869,2025-02-14,201114.6066275996,121271,1.658389941763485,260.0
870,2025-02-15,202874.77477225667,121271,1.672904278617779,170.0
871,2025-02-16,284189.10071289784,121271,2.343421763759661,200.0
872,2025-02-17,188269.24609917897,121271,1.552467169390695,220.0
873,2025-02-18,161952.65565322855,121271,1.3354607090996904,230.0
874,2025-02-19,132585.4890086455,121271,1.093299214228014,0.0
875,2025-02-20,116805.5601088642,121271,0.9631780071811414,0.0
876,2025-02-21,112924.3105791485,121271,0.9311732448742774,0.0
877,2025-02-22,118011.46863433304,121271,0.97312192225951,0.0
878,2025-02-23,107540.6880764912,121271,0.8867799232833176,0.0
879,2025-02-24,96479.8430145007,121271,0.7955722556464505,80.0
880,2025-02-25,97289.03341460747,121271,0.802244835241793,80.0
881,2025-02-26,93377.707781525,121271,0.7699920655517395,80.0
882,2025-02-27,97672.8617813838,121271,0.8054098818463096,90.0
883,2025-02-28,124278.7556978149,121271,1.0248019369660917,90.0
884,2025-03-01,274526.0783597644,121271,2.2637405345034214,0.0
